BL record ID,Type of resource,Content type,Material type,Name,Dates associated with name,Type of name,All names,Title,Country of publication,Place of publication,Publisher,Date,Page Count,BL shelfmark,Citations
2135162,Monograph,Language material ; Text,Volume,,,,"Servicen, Louise [person] ; Maccurdy, Edward [person] ; Valéry, Paul, 1871-1945 [person]","Les carnets de Léonard de Vinci. Introduction, classement et notes par Edward MacCurdy. Traduction de l'anglais et de l'italien par Louise Servicen. Préface de Paul Valéry",France,Paris,Gallimard,1954,4,X.909/83414,10
2135163,Monograph,Language material ; Text,Volume,,,,,"Leonardo da Vinci der Denker, Forscher und Poet, nach den veroeffentlichten Handschriften. Auswahl, Übersetzung & Einleitung von Marie Herzfeld",,Leipzig,,1904,53,012227.d.1,4
2135164,Monograph,Language material ; Text,Volume,,,,"Herzfeld, Marie, 1855-1940 [person]","Leonardo da Vinci der Denker, Forscher und Poet, nach den veroeffentlichten Handschriften. Auswahl, Übersetzung & Einleitung von Marie Herzfeld",,Jena,,1906,56,10633.cc.2,11
2135165,Monograph,Language material ; Text,Volume,,,,"Herzfeld, Marie, 1855-1940 [person]","Leonardo da Vinci der Denker, Forscher und Poet, nach den veroeffentlichten Handschriften. Auswahl, Übersetzung & Einleitung von Marie Herzfeld",,Jena,,1926,67,12225.bb.19,24
2135166,Monograph,Language material ; Text,Volume,,,,"Ternovsky, Vasily Nikolaevich [person] ; Kondrat'Eva, M. V. [person]","Анатомия. Записи и рисунки. Перевод ... М. В. Кондратьевой и З. Б. Подкопаевой. Редакция и комментарий В. Н. Терновского [With a portrait, reproductions and facsimiles.]",,Москва,,1965,76,Ac.1125/223. ,45
2135167,Monograph,Language material ; Text,Volume,,,,"Poussin, Nicolas, approximately 1594-1665 [person] ; Lochon, René [person]","Trattato della pittura di Lionardo da Vinci nouamente dato in luce, con la vita dell'istesso autore, scritta da Rafaelle du Fresne. Si sono giunti i tre libri della pittura, & il trattato della statua di Leon Battista Alberti, con la vita del medesimo [With engravings by René Lochon after drawings by Nicolas Poussin retouched by Charles Errard.]",,Parigi,Giacomo Langlois,1651,87,1751.b.2 ; 60.h.26,15
2135168,Monograph,Language material ; Text,Volume,,,,"Poussin, Nicolas, approximately 1594-1665 [person] ; Lochon, René [person]","Trattato della pittura di Lionardo da Vinci nouamente dato in luce, con la vita dell'istesso autore, scritta da Rafaelle du Fresne. Si sono giunti i tre libri della pittura, & il trattato della statua di Leon Battista Alberti, con la vita del medesimo [With engravings by René Lochon after drawings by Nicolas Poussin retouched by Charles Errard.]",Italy,Napoli,"di Francesco Ricciardo ; spese di Niccola, e Vincenzo Rispoli",1733,894,561*.e.18,41
2135169,Monograph,Language material ; Text,Volume,,,,,"Trattato della pittura di Lionardo da Vinci nouamente dato in luce, con la vita dell'istesso autore, scritta da Rafaelle du Fresne. Si sono giunti i tre libri della pittura, & il trattato della statua di Leon Battista Alberti, con la vita del medesimo [With engravings by René Lochon after drawings by Nicolas Poussin retouched by Charles Errard.]",,Bologna ; Nell'Instituto delle Scienze,,1786,456,1481.f.17,24
2135170,Monograph,Language material ; Text,Volume,,,,,"Trattato della pittura di Lionardo da Vinci nouamente dato in luce, con la vita dell'istesso autore, scritta da Rafaelle du Fresne. Si sono giunti i tre libri della pittura, & il trattato della statua di Leon Battista Alberti, con la vita del medesimo [With engravings by René Lochon after drawings by Nicolas Poussin retouched by Charles Errard.]",Italy,Milano,dalla Società Tipografica de' Classici Italiani,1804,345,1044.d.12 ; 12201.p.1/33,39
2135171,Monograph,Language material ; Text,Volume,,,,,On Vellum,Italy,Milano,,1804,345,C.20.d.18,42
2135172,Monograph,Language material ; Text,Volume,,,,"Orsini, Baldassare [person]","Trattato della pittura di Lionardo da Vinci nouamente dato in luce, con la vita dell'istesso autore, scritta da Rafaelle du Fresne. Si sono giunti i tre libri della pittura, & il trattato della statua di Leon Battista Alberti, con la vita del medesimo [With engravings by René Lochon after drawings by Nicolas Poussin retouched by Charles Errard.]",Italy,Perugia,,1805,34,1043.h.27,29
2135173,Monograph,Language material ; Text,Volume,,,,"Rossi, G. Francesco de [person] ; Rossi, Giovanni Gherardo de [person] ; Manzi, Guglielmo [person]","Trattato della pittura di Lionardo da Vinci nouamente dato in luce, con la vita dell'istesso autore, scritta da Rafaelle du Fresne. Si sono giunti i tre libri della pittura, & il trattato della statua di Leon Battista Alberti, con la vita del medesimo [With engravings by René Lochon after drawings by Nicolas Poussin retouched by Charles Errard.]",Italy,Roma,,1817,45,60.f.17,17
2135174,Monograph,Language material ; Text,Volume,,,,"Rossi, G. Francesco de [person] ; Rossi, Giovanni Gherardo de [person] ; Manzi, Guglielmo [person]",Disegni ... tratti fedelmente dagli originali del Codice Vaticano [by G. Francesco de Rossi],Italy,Roma,,1817,54,60.f.17 ; 7876.w.6,19
2135175,Monograph,Language material ; Text,Volume,,,,"Rossi, G. Francesco de [person] ; Rossi, Giovanni Gherardo de [person] ; Manzi, Guglielmo [person]",Disegni ... tratti fedelmente dagli originali del Codice Vaticano [by G. Francesco de Rossi],Italy,Roma,,1817,342,60.f.17 ; 7876.w.6,9
2135176,Monograph,Language material ; Text,Volume,,,,"Macmahon, Amos Philip [person] ; Janson, Dora Jane [person] ; Heydenreich, Ludwig Heinrich [person]",Treatise on Painting. Codex Urbinas Latinus 1270 ... Translated and annotated by A. Philip McMahon. With an introduction by Ludwig H. Heydenreich,United States of America,Princeton,Princeton University Press,1956,23,7871.df.44,10
2135177,Monographic component part,Language material ; Text,Volume,,,,"Macmahon, Amos Philip [person] ; Janson, Dora Jane [person] ; Heydenreich, Ludwig Heinrich [person]",Treatise on Painting. Codex Urbinas Latinus 1270 ... Translated and annotated by A. Philip McMahon. With an introduction by Ludwig H. Heydenreich. 1. Translation. pp. xliii. 443,,,,,23,7871.df.44,25
2135178,Monographic component part,Language material ; Text,Volume,,,,"Macmahon, Amos Philip [person] ; Janson, Dora Jane [person] ; Heydenreich, Ludwig Heinrich [person]",Treatise on Painting. Codex Urbinas Latinus 1270 ... Translated and annotated by A. Philip McMahon. With an introduction by Ludwig H. Heydenreich. 2. Facsimile. pp. vi. ff. 329,,,,,23,7871.df.44,11
